X;time;peak
[32  1  8  3];0.0845041;0.005908848266083004
[ 8 32  1  2];0.04164;0.011991400210420382
[ 2  1 16  3];0.04024;0.012408596042790874
[ 1 16 32  5];0.0379138;0.01316992506058229
[ 16 256   2   1];0.00398898;0.1251753342362972
[4 1 8 5];0.0382519;0.013053519034659842
[16 16 64  4];0.00344491;0.14494483303247538
[16  8 16  4];0.00478196;0.10441783385095332
[ 1 32  1  1];0.00217414;0.22966409925851358
[ 4 16  4  0];0.029181;0.017111199231071753
[8 4 1 5];0.0343652;0.01452987047251012
[  1   4 128   3];0.05532;0.009026064800468272
[4 4 8 3];0.0289092;0.01727207618204256
[8 4 8 4];0.00828004;0.06030428654473949
[ 1 64  1  3];0.039521;0.012634343887095589
[ 8  1 16  3];0.0321312;0.015540095133761105
[  4   4 256   1];0.0149448;0.03341107975763508
[256   2   2   0];0.0525751;0.009497307751424244
[2 2 4 1];0.0159791;0.03124843731886682
[32  4  1  3];0.0599978;0.008322336898384687
[ 2  1 64  0];0.050688;0.009850889850889851
[128   1   8   0];0.040309;0.012387355299360064
[16  1 64  4];0.04462;0.011190540223260976
[16  4 16  3];0.043978;0.011353902059254736
[32  4  8  5];0.065917;0.007575009553861746
[1 8 2 2];0.0339429;0.014710643603283892
[ 8 64  2  4];0.002141;0.23321901203265052
[  4   1 256   2];0.0597651;0.008354740555305768
[  2 128  64   1];0.00225496;0.22143271045247134
[16  2 32  1];0.018889;0.02643453357837391
[ 2 64  1  3];0.0402951;0.012391628380669232
[256  16   2   4];0.00831604;0.06004323028291167
[32  1  8  2];0.0326741;0.01528188702250115
[ 2 16 16  4];0.00272202;0.18343800000069976
[  1   1 256   3];0.0624592;0.0079943692004045
[8 8 4 1];0.00384402;0.1298957614065236
[4 2 8 4];0.019609;0.0254639147718856
[16  2  2  0];0.029273;0.017057421677378636
[  1 256   8   1];0.00158596;0.31483890183983504
[128   8   1   5];0.165858;0.003010538561672664
[128   1   8   2];0.0619531;0.008059675863869681
[ 1  8 64  1];0.00791097;0.06311765873994021
[2 8 4 4];0.00413609;0.12072317206876658
[  2   4 128   2];0.055856;0.008939449741512187
[  4 128   2   1];0.0024941;0.20020123682366575
[ 4  4 32  3];0.0305202;0.016360374596559157
[64 16  4  4];0.0140078;0.03564599043118154
[4 2 1 1];0.0144579;0.03453626769876018
[  1   4 256   3];0.060215;0.00829231760793664
[ 8 64  4  4];0.00189686;0.2632360346899111
[2 8 8 2];0.029114;0.017150577205533583
[32  8  4  1];0.00504184;0.09903565062792648
[ 8  4 32  2];0.0400581;0.012464942290370856
[16  2 32  0];0.040364;0.012370476284855436
[4 2 2 5];0.0323019;0.01545797320782693
[ 1 16  2  1];0.00407505;0.12253147930992374
[16  1 64  1];0.0459461;0.010867557959476535
[ 1 32 16  5];0.0401061;0.012450023930571779
[1 4 8 1];0.0158279;0.031546945884286914
[  1   4 128   4];0.0155692;0.032071134339715895
[ 1  4 64  1];0.0155659;0.03207793348035801
[32 16 16  1];0.00231004;0.2161529258202909
[ 8 64  1  2];0.041023;0.012171754985298608
[ 8 64  8  1];0.00150418;0.3319562185123488
[64  1 16  5];0.162828;0.003066560448828855
[ 4  2 64  1];0.023221;0.021503031943581448
[ 4 32  4  2];0.029963;0.016664616519103722
[2 1 1 0];0.0328431;0.015203251360617748
[  1   1 128   3];0.062768;0.007955039267810106
[32 16  8  4];0.00432515;0.11544614747740652
[32  2  8  4];0.030781;0.01622175708267778
[  1 128   8   5];0.0402849;0.012394765898932474
[8 1 1 1];0.0185082;0.026978415230109076
[256   1   2   5];0.141421;0.0035307479423982635
[ 4 64  2  3];0.0329731;0.01514331090379445
[16 16  8  4];0.00260806;0.19145338096589218
[  1   8 128   5];0.0323648;0.015427931109165042
[2 1 1 3];0.032855;0.015197744780456695
[ 2 32 16  5];0.040246;0.012406746130345992
[ 2 16  4  1];0.00217795;0.2292623360324639
[4 8 8 5];0.0460479;0.010843532598922095
[32 16 32  4];0.00460505;0.10842920375715893
[16  4  4  1];0.00715804;0.06975679163037714
[8 1 2 1];0.0320299;0.015589243324578122
[64  8  1  2];0.155025;0.0032209121416668586
[ 8  4 32  1];0.00934005;0.05346030318487639
[64 64  4  1];0.00180292;0.2769517808676507
[  1 128   2   2];0.032367;0.015426882465532943
[32  1 32  0];0.0419261;0.011909571955462224
[128   4   2   0];0.044225;0.011290489649788689
[2 1 2 1];0.0318758;0.015664607782766383
[8 4 1 4];0.00493598;0.10115962884004893
[1 2 4 0];0.0395;0.012641060880048223
[ 32 128   4   4];0.00746012;0.06693215454468625
[2 2 2 1];0.0179269;0.027853220844758702
[1 1 4 1];0.0617161;0.008090626348098871
[16 64  1  4];0.00422502;0.1181821399098477
[ 4 32  1  2];0.04037;0.012368637720136357
[  8 128   1   2];0.041796;0.011946643333378906
[16  2  8  5];0.0469711;0.010630406883422035
[32  1  1  1];0.0600581;0.00831398104105699
[16 32  4  4];0.00217485;0.22958912327834324
[  4  16 128   1];0.0036602;0.13641929532864455
[  2 128   1   5];0.0404348;0.012348815989244531
[  1   2 256   0];0.0611582;0.00816443101271628
[64 32  2  1];0.00280213;0.1781936972095887
[16  1  8  1];0.054266;0.009201376640288667
[ 4  1 16  1];0.030417;0.01641588272222457
[  1   4 128   1];0.0155761;0.03205692726432834
[128   8   1   0];0.0545251;0.009157652251199994
[16  1  4  0];0.0279989;0.017833625776794974
[256  16   1   4];0.00911403;0.05478607210662075
[16 64  1  5];0.0476298;0.010483392849894494
[2 4 2 5];0.032387;0.015417355876181949
[ 8  2 16  4];0.0166142;0.03005392403858776
[256   2   2   5];0.151472;0.0032964634042060895
[ 8 16  4  0];0.0302401;0.016511913147175598
[ 8 32  2  2];0.0341809;0.01460821408335956
[16  8  1  0];0.0419869;0.01189232605317146
[4 1 8 0];0.0303988;0.01642571103997213
[ 2 16  8  3];0.027401;0.018222762116780585
[ 8  4 16  4];0.00841522;0.05933557349206614
[1 8 8 0];0.0271409;0.018397396724570844
[  2 128   1   2];0.0404639;0.012339935220329844
[  4 256   4   1];0.00225806;0.22112871436627227
[16  1 16  1];0.0294909;0.016931389166214145
[128   8   2   4];0.0174911;0.028547198561663063
[ 4 64  1  0];0.040503;0.012328022733177908
[8 1 8 2];0.0286121;0.017451424563800097
[ 4 64  1  5];0.0405159;0.012324097570630414
[32  4  2  3];0.060406;0.008266097817466888
[2 4 1 2];0.031049;0.01608173869567151
[16  8 64  4];0.0062201;0.08027554295942264
[1 1 8 2];0.0627439;0.007958094807015578
[  1 256   4   3];0.0294921;0.016930700247249426
[ 2 64  8  0];0.0297439;0.0167873716883766
[ 1  2 64  2];0.0502388;0.009938969576540538
[ 1 64  2  4];0.00192618;0.2592290984030074
[  1 128   4   4];0.00176406;0.2830526766447313
[ 2 32  2  5];0.040828;0.012229888918435993
[ 4 16  8  2];0.0292561;0.01706727502168453
[4 1 1 5];0.0255599;0.019535362218236565
[8 4 4 2];0.0307679;0.016228663794471014
[ 1  2 32  2];0.0403621;0.012371058610971798
[ 8  8 64  1];0.00840521;0.0594062378883936
[ 8  1 32  0];0.0416639;0.01198452148651242
[16  1  4  4];0.03337;0.014963197625469129
[ 1 64  8  0];0.0281219;0.017755624789288944
[ 4 16  2  2];0.0393839;0.012678325527992524
[256   1   2   3];0.109663;0.004553239513435751
[  2   4 128   4];0.01017;0.049097532424966055
[16  1  2  0];0.0287499;0.017367778836166553
[64  4  2  3];0.158408;0.0031521255540244483
[16 16  1  1];0.00253916;0.19664846042073159
[ 1 32  4  5];0.0403211;0.012383637965281323
[64 16  2  1];0.00440812;0.11327321052101685
[32  2  4  4];0.032161;0.015525695866481289
[4 8 8 2];0.0280089;0.01782725864856902
[256   1   1   0];0.157065;0.0031790781190074477
[ 8 16  1  1];0.00196195;0.2545028694726699
[  1 256   2   1];0.00176907;0.28225107246287867
[  8 128   8   4];0.00351405;0.1420929994627011
[4 8 1 2];0.0345659;0.014445505679351755
[1 2 8 1];0.0309331;0.01614199368191047
[ 1 32 32  1];0.00234222;0.21318317867745334
[16  1  1  3];0.0322449;0.015485298597976883
[32  1  8  5];0.0635629;0.007855555752835456
[  2   2 256   4];0.020148;0.02478270323416244
[128   1   2   1];0.059742;0.008357971021423868
[ 4 32  8  4];0.00258112;0.1934516429929274
[ 8 32  2  4];0.00259089;0.19272215522924738
[128 128   1   4];0.00380206;0.13132930694463127
[ 1 16 16  1];0.00410795;0.12155014174026091
[ 1 32  2  1];0.00234199;0.2132041147750011
[64  1  4  5];0.16034;0.003114144348022357
[32 64  1  4];0.00941491;0.053035228670471064
[4 8 2 0];0.0280912;0.017775029360152104
[ 2  2 64  3];0.035949;0.013889730027591998
[4 2 2 2];0.031045;0.016083810750906903
[128  32   4   4];0.00508404;0.09821360665177788
[32  1  4  1];0.036556;0.013659095764358923
[16 16 64  1];0.00316501;0.15776313653413568
[ 4  4 32  2];0.0402181;0.012415352907320454
[32  8 32  1];0.0050869;0.09815838816605492
[  4 128  16   1];0.00179887;0.2775753138147308
[ 2 64  4  1];0.00117612;0.4245501349878455
[128   1   1   2];0.161648;0.0030889457633988967
[32  4 32  1];0.0102091;0.048909492978020074
[ 4 32  8  3];0.03001;0.016638517319623618
[ 8 64  2  5];0.0413022;0.012089474767976156
[128   4   1   3];0.161179;0.003097934003573076
[ 4  1 32  1];0.03756;0.01329398042497084
[16  2 16  5];0.047714;0.010464893003351319
[4 8 2 5];0.0411811;0.012125025916303956
[  2   2 128   1];0.026922;0.018546984056232996
[ 4  8 32  1];0.00495005;0.10087209316308013
[ 2 32 16  4];0.00244403;0.20430269054058453
[ 2  8 32  0];0.0401871;0.012424930008930845
[16 64  8  1];0.00202608;0.2464472798516864
[ 4  1 16  4];0.038336;0.013024882741076396
[ 4 16  2  0];0.032989;0.015136012148349596
[8 1 1 2];0.0310359;0.01608852666627695
[256   4   2   4];0.032815;0.015216270143589969
[ 2 16  1  0];0.034502;0.014472259717173057
[32 16  4  1];0.00269294;0.1854188748215351
[  2   1 128   1];0.0540512;0.009237943001485716
[2 8 8 1];0.00505304;0.0988161393461965
[ 1  1 16  3];0.063096;0.007913685570589336
[  2 256  32   1];0.00214696;0.2325715918144282
[32  2  8  3];0.062614;0.007974604797040675
[  1  32 128   1];0.00232506;0.21475656747004584
[ 64 128   1   1];0.00375009;0.13314931235301147
[ 4 16  1  0];0.039865;0.012525320575991592
[  2   8 128   4];0.00519109;0.09618825810415631
[ 8 64  2  2];0.0345461;0.014453785080281268
[ 8 32  4  2];0.0312591;0.015973649425668198
[ 1 16 64  5];0.032342;0.015438807271099645
[  2   2 512   1];0.0316088;0.015796926955844726
[  1 256   1   2];0.0403209;0.012383699390685843
[64  2  4  1];0.0203269;0.024564587062557736
[2 8 8 5];0.037611;0.013275953969899891
[4 8 4 4];0.00500488;0.09976700835222918
[8 8 1 4];0.00270486;0.18460175564055248
[32  2  4  1];0.0190248;0.026245842519338165
[64  4  2  4];0.0473759;0.010539576129675737
[ 1 16  4  3];0.0267901;0.018638299400222647
[ 1  2 32  1];0.0310872;0.016061977430000283
[ 1 64  1  4];0.00197887;0.2523267848630303
[  8   8 128   4];0.00443292;0.11263950280219466
[1 4 4 2];0.0404091;0.012356669778884081
[64  1  8  3];0.161218;0.003097184587092662
[ 2  1 64  3];0.0401969;0.012421900812299077
[  4 128  32   1];0.0019331;0.25830112501262464
[ 2  1 32  0];0.0457408;0.010916335192255159
[2 2 4 2];0.0362549;0.01377253570584679
[ 4 64  1  3];0.040513;0.012324979753706335
[  2   1 128   3];0.0403609;0.012371426424135855
[ 8  1 16  1];0.030489;0.01637711649322394
[1 4 1 3];0.028816;0.017327939504508078
[  1 256   4   1];0.00167489;0.29812220788344596
[ 1 32  8  2];0.0284948;0.017523264060877942
[  1 128  64   4];0.00217414;0.22966409925851358
[ 32 128   1   4];0.010638;0.04693757329967144
[ 2  2 64  0];0.0481801;0.010363654387639394
[ 4  2 64  5];0.032079;0.01556538248579771
[ 2 16  2  3];0.0280881;0.017776991137239784
[16  1  8  5];0.0491989;0.010149046112045286
[2 1 2 5];0.035717;0.013979950857068197
[4 4 8 2];0.0289841;0.017227442106599992
[ 4  2 32  2];0.042321;0.011798442965948461
[4 1 8 4];0.0383849;0.01300828984214899
[256   2   1   1];0.0764;0.006535627025679382
[ 4 32  4  4];0.00231481;0.21570751152876683
[256  16   1   1];0.00801516;0.06229718492979613
[16 16  4  0];0.031431;0.015886287574748012
[32 32  2  4];0.0068028;0.07339946856616462
[  1   1 256   1];0.062032;0.0080494245673508
[2 8 1 2];0.0281451;0.017740988831516136
[8 1 2 0];0.031054;0.016079149377275222
[4 8 2 3];0.0282741;0.017660045934685977
[16 64  8  4];0.0029819;0.16745092215094562
[ 1  2 32  3];0.0408149;0.012233814238474302
[2 8 4 5];0.0292499;0.01707089271286072
[  8 256   1   4];0.00300002;0.16643952532379944
[32 32  1  5];0.0640461;0.007796288997486261
[8 2 8 1];0.028744;0.017371343750414166
[ 8  8 32  4];0.00669289;0.07460482762482347
[4 1 4 1];0.0360661;0.013844632626258587
[16  4  1  0];0.0409541;0.012192232395826175
[128  16   8   1];0.00275087;0.1815141772464365
[1 4 8 0];0.0299418;0.016676415738596368
[ 2 32  8  4];0.00210881;0.23677899135621738
[128   2   2   1];0.0299859;0.016651889880307236
[ 8  2 64  5];0.0394471;0.012658013003792542
[  1 128   2   5];0.0404408;0.012346983856944096
[ 1 16  1  5];0.028059;0.017795427661780702
[ 1  2 64  5];0.0402861;0.012394396696674654
[16 16  4  4];0.00255394;0.19551042889100947
[  2 128   2   4];0.00134993;0.3698872569406597
[32 32  1  3];0.0798762;0.0062511975377134215
[ 1 64  8  3];0.027771;0.017979975685495832
[128  32   1   1];0.00499606;0.09994313614366215
[1 4 2 2];0.0361931;0.013796052417778659
[ 2 64  4  2];0.0298162;0.0167466647246096
[ 2  1 32  4];0.0402379;0.012409243642483947
[2 2 2 5];0.0381031;0.013104495559728861
[1 1 1 0];0.061619;0.0081033756594866
[32  1  2  4];0.069957;0.007137554565831936
[2 4 4 4];0.00807595;0.061828256088993214
[64  1 16  3];0.16374;0.0030494803026866056
[ 2 32  2  0];0.0326631;0.015287033525963695
[16  1  1  4];0.031817;0.015693557053207557
[  4 128   4   1];0.00187302;0.2665865312500159
[ 8  4 16  1];0.0075891;0.0657946139544748
[16  2 64  4];0.0232921;0.021437393140245183
[128   2   1   4];0.0799172;0.006247990479670269
[  1  32 256   4];0.00229406;0.21765860734327122
[ 4 32 16  1];0.00173306;0.28811576330992855
[  2   1 128   4];0.0402372;0.012409459524069884
[ 2 16  1  5];0.0343978;0.014516100005288269
[ 2 32  8  2];0.0287509;0.01736717475842164
[64  2  8  5];0.156255;0.0031955579326223464
[  2  32 128   4];0.002244;0.22251421780833547
[64  1  2  0];0.0555711;0.008985280204313119
[ 4  2 64  2];0.0484591;0.010303986346463406
[  4  32 128   1];0.00226521;0.22043073479364153
[2 4 8 1];0.00984287;0.05072929996656511
[ 4 16  2  3];0.0331831;0.015047476117719706
[ 4  2 16  5];0.0318561;0.01567429486854652
[1 2 1 4];0.030894;0.016162423278368122
[ 16 128   1   4];0.00457287;0.10919223698944094
[ 8  1 64  3];0.038137;0.013092846966512962
[ 2 16  2  5];0.039531;0.012631147827322982
[ 1  2 16  0];0.0355251;0.01405546795820152
[128   2   4   4];0.078481;0.006362328522341774
[4 4 2 3];0.027343;0.0182614162587099
[  4 256   1   4];0.00499511;0.09996214392914367
[ 8  1 16  5];0.031749;0.01572716950965085
[ 1 32  4  2];0.0290432;0.017192385989212786
[64  4  1  4];0.0406358;0.01228773408575455
[ 2  2 16  0];0.0319281;0.015638948285739043
[ 64 256   1   1];0.00359797;0.1387787849153564
[ 1  4 64  4];0.0155602;0.032089684243255534
[ 4  2 16  2];0.0542848;0.009198190004603587
[4 4 2 5];0.030606;0.01631451038234022
[64 16 16  1];0.00267506;0.18665820757736454
[128   2   1   3];0.161832;0.003085433689022596
[64  2  1  2];0.15222;0.0032802647796735303
[  1   2 256   4];0.031527;0.01583791368547292
[16 64 16  4];0.00386882;0.12906310057379378
[ 2  2 32  5];0.038027;0.013130720402921734
[ 2 64 64  4];0.00183511;0.27209371904785257
[32 32  8  1];0.00176096;0.2835509635436948
[64  2  8  4];0.0898988;0.005554266628274291
[4 1 2 5];0.0398979;0.012514992136475974
[32  2  2  3];0.0610161;0.008183445103208904
[ 1 16 64  1];0.00411201;0.12143012900306778
[4 2 2 1];0.00894594;0.05581547660300704
[32  8  4  5];0.064311;0.007764175720512896
[64  2  8  2];0.0341399;0.014625757684173204
[  8   8 128   1];0.00700402;0.07129075941557916
[32  1  1  5];0.058738;0.008500832591540481
[ 2 64 64  1];0.0021801;0.22903623905412815
[  4   1 256   1];0.063539;0.007858510596041876
[64  4  2  1];0.0140641;0.035503295963616927
[128   4   4   1];0.0105841;0.04717660497934682
[16  4  4  4];0.00852299;0.05858529750262582
[32  1 32  4];0.0627902;0.007952226697190083
[ 16 128   4   4];0.004282;0.11660950601632526
[16  1  1  1];0.0318182;0.01569296518225119
[1 2 4 4];0.030911;0.016153534494578136
[ 2 16 16  2];0.0326419;0.015296962026165902
[ 1 16 64  4];0.00408506;0.1222312291035884
[32  2  2  5];0.0617731;0.008083160870377313
