X;time;peak;backend
[1, 16, 1, 1];0.003886139194946736;0.1284879104204986;jir
[1, 16, 1, 1];0.0038841264904476702;0.12855449120668436;mlir
[1, 16, 1, 1];0.003908112354110926;0.1277654938033371;tvm
[1, 16, 1, 4];0.0038853971054777503;0.1285124509044251;jir
[1, 16, 1, 4];0.003888662555254996;0.1284045343783146;mlir
[1, 16, 1, 4];0.003897450922522694;0.1281149948230034;tvm
[1, 16, 2, 1];0.0038667127955704927;0.12913343482192477;jir
[1, 16, 2, 1];0.0038841846399009228;0.12855256663973663;mlir
[1, 16, 2, 1];0.0039026596932671964;0.12794400332248457;tvm
[1, 16, 2, 4];0.0038873894372954965;0.1284465867945788;jir
[1, 16, 2, 4];0.0038851351710036397;0.12852111516956974;mlir
[1, 16, 2, 4];0.003903727629221976;0.12790900190478224;tvm
[1, 16, 4, 1];0.0038674688548780978;0.12910819026560547;jir
[1, 16, 4, 1];0.003877132839988917;0.12878638039220036;mlir
[1, 16, 4, 1];0.003894465509802103;0.12821320499697475;tvm
[1, 16, 4, 4];0.0038859309861436486;0.12849479482326726;jir
[1, 16, 4, 4];0.0038782694027759135;0.12874863835000985;mlir
[1, 16, 4, 4];0.003896207723300904;0.12815587366550224;tvm
[1, 16, 8, 1];0.003867917926982045;0.12909320057664778;jir
[1, 16, 8, 1];0.0038684241008013487;0.12907630904751877;mlir
[1, 16, 8, 1];0.003858303010929376;0.12941490166725647;tvm
[1, 16, 8, 4];0.003866654238663614;0.1291353904285167;jir
[1, 16, 8, 4];0.0038670290377922356;0.1291228744035958;mlir
[1, 16, 8, 4];0.0038576385704800487;0.1294371921161522;tvm
[1, 16, 16, 1];0.0038664672756567597;0.129141634769711;jir
[1, 16, 16, 1];0.0038683750899508595;0.12907794439557507;mlir
[1, 16, 16, 1];0.0038579602260142565;0.12942640035399358;tvm
[1, 16, 16, 4];0.0038668735651299357;0.12912806595607593;jir
[1, 16, 16, 4];0.0038674399256706238;0.1291091560201342;mlir
[1, 16, 16, 4];0.0038599916151724756;0.12935828741161493;tvm
[1, 16, 32, 1];0.0038670770009048283;0.12912127290071343;jir
[1, 16, 32, 1];0.003865630249492824;0.12916959784951407;mlir
[1, 16, 32, 1];0.003857920062728226;0.129427747761263;tvm
[1, 16, 32, 4];0.0038676506956107914;0.12910212013938097;jir
[1, 16, 32, 4];0.003865146602038294;0.12918576089677586;mlir
[1, 16, 32, 4];0.003861009841784835;0.129324173007309;tvm
[1, 16, 64, 1];0.0038631419301964343;0.12925279831396594;jir
[1, 16, 64, 1];0.003873316920362413;0.1289132583334247;mlir
[1, 16, 64, 1];0.0038602344575338066;0.12935014964891725;tvm
[1, 16, 64, 4];0.0038637641700915992;0.12923198279724904;jir
[1, 16, 64, 4];0.0038652372895739973;0.12918272989572058;mlir
[1, 16, 64, 4];0.0038624131702817976;0.1292771857251809;tvm
[1, 16, 128, 1];0.0038587779854424298;0.1293989720698209;jir
[1, 16, 128, 1];0.003931145183742046;0.12701690764994886;mlir
[1, 16, 128, 1];0.0038503832765854895;0.12968109117820142;tvm
[1, 16, 128, 4];0.0038594405632466078;0.12937675722148423;jir
[1, 16, 128, 4];0.003931500134058297;0.12700544009557976;mlir
[1, 16, 128, 4];0.0038593041244894266;0.12938133110407915;tvm
[1, 16, 256, 1];0.003859932767227292;0.12936025958829925;jir
[1, 16, 256, 1];0.003942432813346386;0.1266532439237878;mlir
[1, 16, 256, 1];0.003854113456327468;0.12955558014052387;tvm
[1, 16, 256, 4];0.0038598066312260926;0.1293644869984826;jir
[1, 16, 256, 4];0.003929797851014882;0.127060455446316;mlir
[1, 16, 256, 4];0.0038788244128227234;0.12873021607042404;tvm
[1, 16, 512, 1];0.004105235741008073;0.1216305070556782;jir
[1, 16, 512, 1];0.004158388066571206;0.12007583149247061;mlir
[1, 16, 512, 1];0.004122681217268109;0.12111581721877103;tvm
[1, 16, 512, 4];0.004105706233531237;0.12161656883387097;jir
[1, 16, 512, 4];0.004145462589804083;0.12045022574561529;mlir
[1, 16, 512, 4];0.004110845911782235;0.12146451496291343;tvm
[1, 32, 1, 1];0.002002493158215657;0.24935011773365107;jir
[1, 32, 1, 1];0.0020045207056682557;0.24909790322941247;mlir
[1, 32, 1, 1];0.001997216313611716;0.250008925602527;tvm
[1, 32, 1, 4];0.002002197637921199;0.24938692130329876;jir
[1, 32, 1, 4];0.002005119400564581;0.24902352678913325;mlir
[1, 32, 1, 4];0.0020006010308861732;0.24958594794921624;tvm
[1, 32, 2, 1];0.0020014461188111454;0.24948056311328576;jir
[1, 32, 2, 1];0.002002589462790638;0.24933812648054798;mlir
[1, 32, 2, 1];0.0020054578490089625;0.2489815006626316;tvm
[1, 32, 2, 4];0.002001652988838032;0.2494547793979831;jir
[1, 32, 2, 4];0.002002181310672313;0.24938895498641797;mlir
[1, 32, 2, 4];0.002001235814532265;0.24950678032843812;tvm
[1, 32, 4, 1];0.002002007735427469;0.2494105771550825;jir
[1, 32, 4, 1];0.0020044313569087535;0.24910900692152518;mlir
[1, 32, 4, 1];0.002001100016059354;0.24952371233557302;tvm
[1, 32, 4, 4];0.0020111156336497515;0.24828105177410442;jir
[1, 32, 4, 4];0.0020045582787133753;0.2490932341874312;mlir
[1, 32, 4, 4];0.001999799336772412;0.24968600378065348;tvm
[1, 32, 8, 1];0.0019923762883991003;0.2506162654460801;jir
[1, 32, 8, 1];0.0019924901716876775;0.25060194115736567;mlir
[1, 32, 8, 1];0.0019969861314166337;0.2500377428298377;tvm
[1, 32, 8, 4];0.0019925081578548998;0.25059967899929014;jir
[1, 32, 8, 4];0.0019922924402635545;0.25062681294712486;mlir
[1, 32, 8, 4];0.001998828665819019;0.2498072562699154;tvm
[1, 32, 16, 1];0.001992059260373935;0.2506561499923329;jir
[1, 32, 16, 1];0.0019928710535168648;0.25055404557196015;mlir
[1, 32, 16, 1];0.001989647018490359;0.2509600447323386;tvm
[1, 32, 16, 4];0.0019920604245271534;0.25065600350974626;jir
[1, 32, 16, 4];0.001992904319195077;0.25054986330883067;mlir
[1, 32, 16, 4];0.001987761992495507;0.25119803409413133;tvm
[1, 32, 32, 1];0.0019937543547712266;0.25044304157479796;jir
[1, 32, 32, 1];0.0019940900965593755;0.2504008748769377;mlir
[1, 32, 32, 1];0.001991808327147737;0.25068772831014924;tvm
[1, 32, 32, 4];0.0019926858658436686;0.25057733048681036;jir
[1, 32, 32, 4];0.0019935022573918104;0.25047471248675196;mlir
[1, 32, 32, 4];0.001988008472835645;0.2511668896710911;tvm
[1, 32, 64, 1];0.00199152113054879;0.2507238799039556;jir
[1, 32, 64, 1];0.0019960356585215777;0.2501568058817858;mlir
[1, 32, 64, 1];0.0019944732484873384;0.2503527711593042;tvm
[1, 32, 64, 4];0.0019921033817809075;0.25065059842201526;jir
[1, 32, 64, 4];0.001995839731534943;0.250181363198883;mlir
[1, 32, 64, 4];0.001995399041334167;0.2502366165456546;tvm
[1, 32, 128, 1];0.0019901848572771996;0.25089222387363264;jir
[1, 32, 128, 1];0.002002568682655692;0.2493407137975076;mlir
[1, 32, 128, 1];0.001998431427637115;0.24985691170413982;tvm
[1, 32, 128, 4];0.001989941578358412;0.2509228965273527;jir
[1, 32, 128, 4];0.002010633674217388;0.24834056604381655;mlir
[1, 32, 128, 4];0.0019903890788555145;0.2508664813660542;tvm
[1, 32, 256, 1];0.0021339543163776398;0.23398903197210769;jir
[1, 32, 256, 1];0.002032506075920537;0.24566809943520496;mlir
[1, 32, 256, 1];0.0019857216393575072;0.25145614312964004;tvm
[1, 32, 256, 4];0.002007293573115021;0.24875380036564929;jir
[1, 32, 256, 4];0.0020024607656523585;0.24935415131553723;mlir
[1, 32, 256, 4];0.0019980123033747077;0.24990932434126348;tvm
[1, 32, 512, 1];0.003261874779127538;0.1530781953853727;jir
[1, 32, 512, 1];0.0025358748098369688;0.1969032157364291;mlir
[1, 32, 512, 1];0.003303676377981901;0.15114128856256884;tvm
[1, 32, 512, 4];0.0032615388045087457;0.15309396413485654;jir
[1, 32, 512, 4];0.002591011842014268;0.19271309249352137;mlir
[1, 32, 512, 4];0.0033304468379355967;0.14992639998764049;tvm
[1, 64, 1, 1];0.0015685692196711898;0.3183295314608907;jir
[1, 64, 1, 1];0.001575061643961817;0.317017373050835;mlir
[1, 64, 1, 1];0.0015649593551643193;0.3190638166506736;tvm
[1, 64, 1, 4];0.0015686565020587295;0.3183118191309486;jir
[1, 64, 1, 4];0.001573912479216233;0.3172488377565657;mlir
[1, 64, 1, 4];0.0015680216602049768;0.3184406934127631;tvm
[1, 64, 2, 1];0.0015685491089243442;0.31833361284067296;jir
[1, 64, 2, 1];0.0015695041220169514;0.31813991295558497;mlir
[1, 64, 2, 1];0.0015644955565221608;0.31915840392150835;tvm
[1, 64, 2, 4];0.0015687314444221556;0.3182966125510608;jir
[1, 64, 2, 4];0.001570615597302094;0.3179147753400698;mlir
[1, 64, 2, 4];0.0015685182297602296;0.31833987982290346;tvm
[1, 64, 4, 1];0.0015683462552260607;0.3183747868801668;jir
[1, 64, 4, 1];0.001569492684211582;0.3181422314260317;mlir
[1, 64, 4, 1];0.0015649704437237233;0.31906155593188573;tvm
[1, 64, 4, 4];0.0015683541423641145;0.31837318579669394;jir
[1, 64, 4, 4];0.0015690366562921554;0.3182346969138819;mlir
[1, 64, 4, 4];0.0015677969786338508;0.3184863292675845;tvm
[1, 64, 8, 1];0.001568138221045956;0.31841702348716083;jir
[1, 64, 8, 1];0.0015677894989494234;0.3184878487172549;mlir
[1, 64, 8, 1];0.0015653596783522516;0.31898221965670354;tvm
[1, 64, 8, 4];0.0015686221595387906;0.3183187880685789;jir
[1, 64, 8, 4];0.001568297710036859;0.3183846418740033;mlir
[1, 64, 8, 4];0.0015640147612430155;0.3192565167128371;tvm
[1, 64, 16, 1];0.0015679938660468906;0.3184463380719454;jir
[1, 64, 16, 1];0.0015678895870223641;0.3184675176714357;mlir
[1, 64, 16, 1];0.0015652894508093596;0.3189965309634725;tvm
[1, 64, 16, 4];0.0015678874042350799;0.3184679610367221;jir
[1, 64, 16, 4];0.0015692036831751466;0.3182008238417912;mlir
[1, 64, 16, 4];0.0015671845176257193;0.31861079480186305;tvm
[1, 64, 32, 1];0.0015671454893890768;0.31861872949432174;jir
