X;time;peak
[1, 16, 1, 1];0.00651097;0.07668932659218286
[1, 16, 1, 4];0.0065341;0.07641785475611099
[1, 16, 2, 1];0.00651097;0.07668932659218286
[1, 16, 2, 4];0.006531;0.076454127202864
[1, 16, 4, 1];0.00653505;0.07640674589512013
[1, 16, 4, 4];0.00651097;0.07668932659218286
[1, 16, 8, 1];0.00650597;0.07674826424989736
[1, 16, 8, 4];0.00650311;0.07678201733661352
[1, 16, 16, 1];0.00650191;0.07679618831418841
[1, 16, 16, 4];0.00650001;0.07681863639623705
[1, 16, 32, 1];0.00638795;0.07816621995505675
[1, 16, 32, 4];0.00637913;0.078274295203563
[1, 16, 64, 1];0.00649619;0.07686380859579305
[1, 16, 64, 4];0.00649881;0.0768328208951954
[1, 16, 128, 1];0.00391912;0.12740663841931474
[1, 16, 128, 4];0.00631881;0.07902150955035912
[1, 16, 256, 1];0.00634098;0.07874522625239391
[1, 16, 256, 4];0.00633192;0.07885789851449557
[1, 16, 512, 1];0.00681996;0.07321478494916463
[1, 16, 512, 4];0.00648999;0.07693723792515933
[1, 32, 1, 1];0.00410509;0.12163482524424674
[1, 32, 1, 4];0.00410199;0.12172674842257168
[1, 32, 2, 1];0.00408387;0.12226684609497972
[1, 32, 2, 4];0.00408411;0.12225966116532237
[1, 32, 4, 1];0.00408292;0.12229529473070859
[1, 32, 4, 4];0.00408506;0.1222312291035884
[1, 32, 8, 1];0.0040741;0.12256005124123237
[1, 32, 8, 4];0.004076;0.12250292069722885
[1, 32, 16, 1];0.00408006;0.12238102007370107
[1, 32, 16, 4];0.004076;0.12250292069722885
[1, 32, 32, 1];0.00399494;0.12498858675271839
[1, 32, 32, 4];0.00397182;0.12571614644216123
[1, 32, 64, 1];0.00387311;0.1289201455062998
[1, 32, 64, 4];0.00202394;0.24670785930507066
[1, 32, 128, 1];0.00390196;0.12796694603786424
[1, 32, 128, 4];0.00391316;0.1276006871075818
[1, 32, 256, 1];0.00391412;0.1275693910155807
[1, 32, 256, 4];0.00389409;0.12822556868534235
[1, 32, 512, 1];0.00481391;0.10372481096694885
[1, 32, 512, 4];0.00227094;0.2198745474393444
[1, 64, 1, 1];0.00367403;0.13590577778676408
[1, 64, 1, 4];0.00367594;0.1358351618257928
[1, 64, 2, 1];0.00371504;0.1344055258521859
[1, 64, 2, 4];0.00370097;0.13491649615152373
[1, 64, 4, 1];0.00368404;0.13553650469644868
[1, 64, 4, 4];0.00367999;0.13568566891809616
[1, 64, 8, 1];0.00368905;0.13535243619953777
[1, 64, 8, 4];0.0038991;0.12806081012590206
[1, 64, 16, 1];0.00370598;0.13473410670373417
[1, 64, 16, 4];0.00370502;0.13476901737693853
[1, 64, 32, 1];0.0035069;0.14238270402974273
[1, 64, 32, 4];0.00367093;0.1360205464996349
[1, 64, 64, 1];0.00162911;0.3064998095659009
[1, 64, 64, 4];0.00160313;0.3114668833855675
[1, 64, 128, 1];0.00351691;0.14197744746436639
[1, 64, 128, 4];0.00165296;0.3020774276219054
[1, 64, 256, 1];0.00163007;0.30631930209248975
[1, 64, 256, 4];0.00163984;0.304494282833633
[1, 128, 1, 1];0.00332808;0.15003302347356576
[1, 128, 1, 4];0.00330901;0.15089767173925278
[1, 128, 2, 1];0.00342512;0.14578230974736792
[1, 128, 2, 4];0.00341988;0.14600567995423955
[1, 128, 4, 1];0.00341606;0.14616895041711936
[1, 128, 4, 4];0.00343299;0.14544810930468915
[1, 128, 8, 1];0.00342178;0.1459246078830038
[1, 128, 8, 4];0.00342417;0.14582275551795174
[1, 128, 16, 1];0.00341296;0.14630171603590572
[1, 128, 16, 4];0.00340986;0.14643472305663716
[1, 128, 32, 1];0.00321817;0.15515709386449592
[1, 128, 32, 4];0.00370002;0.13495113668626244
[1, 128, 64, 1];0.00322199;0.15497313919717465
[1, 128, 64, 4];0.00318193;0.15692422673091638
[1, 128, 128, 1];0.00319791;0.15614007422407283
[1, 128, 128, 4];0.0031991;0.1560819932987105
[1, 256, 1, 1];0.00295806;0.1688004654273087
[1, 256, 1, 4];0.00297093;0.1680692257178408
[1, 256, 2, 1];0.00321388;0.15536420300755
[1, 256, 2, 4];0.00322199;0.15497313919717465
[1, 256, 4, 1];0.00384903;0.12972668562258668
[1, 256, 4, 4];0.003232;0.1544931636020745
[1, 256, 8, 1];0.00305986;0.16318455901966258
[1, 256, 8, 4];0.00303602;0.16446594711560028
[1, 256, 16, 1];0.00305486;0.16345164909747248
[1, 256, 16, 4];0.00310898;0.1606063418747965
[1, 256, 32, 1];0.00145388;0.3434409337510006
[1, 256, 32, 4];0.00302386;0.16512732228406896
[1, 256, 64, 1];0.00300217;0.16632032988202025
[1, 256, 64, 4];0.00301003;0.16588602265156985
[2, 16, 1, 1];0.00282788;0.17657110795433498
[2, 16, 1, 4];0.00281692;0.1772581062869747
[2, 16, 2, 1];0.00364304;0.13706187820114651
[2, 16, 2, 4];0.00282598;0.17668982256134325
[2, 16, 4, 1];0.0037241;0.13407854374530886
[2, 16, 4, 4];0.00283694;0.1760072136745595
[2, 16, 8, 1];0.00378489;0.13192507701991465
[2, 16, 8, 4];0.00376701;0.13255125544182383
[2, 16, 16, 1];0.00362515;0.137738274212627
[2, 16, 16, 4];0.00483203;0.10333584534075839
[2, 16, 32, 1];0.00285411;0.17494837436605623
[2, 16, 32, 4];0.00297189;0.16801493486027572
[2, 16, 64, 1];0.00261497;0.19094746966959653
[2, 16, 64, 4];0.00465107;0.10735635128301761
[2, 16, 128, 1];0.00265217;0.18826919268444509
[2, 16, 128, 4];0.0046761;0.10678169944224991
[2, 16, 256, 1];0.00263095;0.18978768306577654
[2, 16, 256, 4];0.0036788;0.1357295598461196
[2, 16, 512, 1];0.00799894;0.06242350921020845
[2, 16, 512, 4];0.00606894;0.08227497796351665
[2, 32, 1, 1];0.00226593;0.2203606928554301
[2, 32, 1, 4];0.00226998;0.21996753485136644
[2, 32, 2, 1];0.00229502;0.2175675613989877
[2, 32, 2, 4];0.00226998;0.21996753485136644
[2, 32, 4, 1];0.00234199;0.2132041147750011
[2, 32, 4, 4];0.00226998;0.21996753485136644
[2, 32, 8, 1];0.00239301;0.20865851156572884
[2, 32, 8, 4];0.00236702;0.2109495926362704
[2, 32, 16, 1];0.002774;0.18000068664812718
[2, 32, 16, 4];0.00356793;0.13994722563556594
[2, 32, 32, 1];0.00297284;0.16796124405010185
[2, 32, 32, 4];0.00324607;0.15382351728764468
[2, 32, 64, 1];0.00133109;0.37512257229932217
[2, 32, 64, 4];0.00289202;0.17265506627267613
[2, 32, 128, 1];0.00220609;0.22633795754565986
[2, 32, 128, 4];0.00323606;0.15429933461119535
[2, 32, 256, 1];0.00226498;0.22045311868621564
[2, 32, 256, 4];0.00328016;0.15222486243412053
[2, 64, 1, 1];0.00202179;0.24697021192206153
[2, 64, 1, 4];0.00201988;0.2472037471344361
[2, 64, 2, 1];0.00203705;0.24512010248246474
[2, 64, 2, 4];0.00203586;0.24526337997794778
[2, 64, 4, 1];0.0020721;0.24097384525935273
[2, 64, 4, 4];0.00206089;0.24228459780090386
[2, 64, 8, 1];0.00198317;0.2517796783744736
[2, 64, 8, 4];0.00239301;0.20865851156572884
[2, 64, 16, 1];0.00194788;0.25634120416139844
[2, 64, 16, 4];0.00209594;0.23823291924478027
[2, 64, 32, 1];0.00207305;0.24086341610762152
[2, 64, 32, 4];0.00291896;0.17106157835732752
[2, 64, 64, 1];0.00205493;0.24298730602108334
[2, 64, 64, 4];0.00313091;0.15948139830333824
[2, 64, 128, 1];0.00181603;0.27495245384817696
[2, 64, 128, 4];0.00345898;0.14435524482995124
[2, 128, 1, 1];0.00181508;0.2750963620126412
[2, 128, 1, 4];0.00181484;0.2751327415981049
[2, 128, 2, 1];0.00181293;0.275422605815947
[2, 128, 2, 4];0.001858;0.2687416064380542
[2, 128, 4, 1];0.00188398;0.26503567169603964
[2, 128, 4, 4];0.00174999;0.285328433169278
[2, 128, 8, 1];0.00168586;0.2961823074050661
[2, 128, 8, 4];0.00324416;0.1539140809213802
[2, 128, 16, 1];0.00161886;0.3084404486872891
[2, 128, 16, 4];0.00333214;0.14985021780654617
[2, 128, 32, 1];0.00159001;0.3140369587373065
[2, 128, 32, 4];0.00287104;0.17391673566439506
[2, 128, 64, 1];0.000822067;0.6073980645882936
[2, 128, 64, 4];0.00335193;0.14896549294343997
[2, 256, 1, 1];0.00355387;0.14050089191836077
[2, 256, 1, 4];0.00364709;0.13690967449717578
[2, 256, 2, 1];0.00314903;0.15856371795819815
[2, 256, 2, 4];0.003268;0.15279128052689864
[2, 256, 4, 1];0.00210905;0.23675204701733235
[2, 256, 4, 4];0.00287104;0.17391673566439506
[2, 256, 8, 1];0.00309205;0.1614857149017334
[2, 256, 8, 4];0.00500202;0.09982405203535867
[2, 256, 16, 1];0.00325418;0.1534401615036368
[2, 256, 16, 4];0.00519085;0.09619270538773125
[2, 256, 32, 1];0.00324202;0.15401567688105094
[2, 256, 32, 4];0.00401497;0.12436504002817078
[4, 16, 1, 1];0.00177693;0.28100257453130106
