X;time;peak
[1, 16, 1, 1];0.003897995846153846;0.12809708487878096
[1, 16, 1, 4];0.003886810423076923;0.12846572135273468
[1, 16, 2, 1];0.003902523538461538;0.1279484671497327
[1, 16, 2, 4];0.0039044095;0.12788666372262047
[1, 16, 4, 1];0.0038952924999999996;0.1281859846884168
[1, 16, 4, 4];0.003904461346153846;0.12788496555453674
[1, 16, 8, 1];0.0038578595;0.12942977958681615
[1, 16, 8, 4];0.0038563674230769228;0.12947985759186434
[1, 16, 16, 1];0.003862003115384615;0.12929091195520112
[1, 16, 16, 4];0.0038601229615384614;0.12935388580546636
[1, 16, 32, 1];0.003859099846153846;0.12938817980041423
[1, 16, 32, 4];0.003858065923076923;0.12942285453839023
[1, 16, 64, 1];0.0038587976923076923;0.12939831122975853
[1, 16, 64, 4];0.0038577685384615385;0.12943283138522152
[1, 16, 128, 1];0.0038541612692307692;0.12955397293522222
[1, 16, 128, 4];0.0038687602307692307;0.129065094494787
[1, 16, 256, 1];0.0038625841538461538;0.12927146306047646
[1, 16, 256, 4];0.0038651616153846154;0.12918525910389858
[1, 16, 512, 1];0.00412633732;0.1210085036775192
[1, 16, 512, 4];0.00410059416;0.12176818414088185
[1, 32, 1, 1];0.00200080668;0.24956029473167535
[1, 32, 1, 4];0.00200156218;0.24946609690731908
[1, 32, 2, 1];0.001998339156862745;0.24986844852993112
[1, 32, 2, 4];0.001994768745098039;0.2503156849579394
[1, 32, 4, 1];0.0019961876078431373;0.25013776400576776
[1, 32, 4, 4];0.00199929545;0.24974893268621445
[1, 32, 8, 1];0.0019920265294117645;0.25066026852029527
[1, 32, 8, 4];0.0019985309125;0.2498444740778583
[1, 32, 16, 1];0.0019856269803921567;0.2514681305666434
[1, 32, 16, 4];0.0019861019215686275;0.2514079964071226
[1, 32, 32, 1];0.0019846213529411765;0.2515955519786774
[1, 32, 32, 4];0.001984277274509804;0.2516391792499147
[1, 32, 64, 1];0.001988068392156863;0.2511593196349692
[1, 32, 64, 4];0.001988281411764706;0.2511324110397079
[1, 32, 128, 1];0.001996333862745098;0.2501194384767398
[1, 32, 128, 4];0.0019811944117647056;0.25203074559308125
[1, 32, 256, 1];0.0020073482999999996;0.24874701852284672
[1, 32, 256, 4];0.0020088144901960784;0.24856546346057393
[1, 32, 512, 1];0.0033405300967741937;0.14947385304029395
[1, 32, 512, 4];0.0033188642903225806;0.15044963007914153
[1, 64, 1, 1];0.0015585926116504856;0.32036717037503687
[1, 64, 1, 4];0.0015606371553398058;0.31994746700310667
[1, 64, 2, 1];0.0015603785436893202;0.32000049397072616
[1, 64, 2, 4];0.00155820486407767;0.3204468913382982
[1, 64, 4, 1];0.0015631549843749999;0.31943211629878776
[1, 64, 4, 4];0.0015587623398058252;0.32033228671928604
[1, 64, 8, 1];0.0015597078932038835;0.3201380892778709
[1, 64, 8, 4];0.001558240844660194;0.32043949205476774
[1, 64, 16, 1];0.0015600270097087378;0.32007260236803836
