X;time;peak
[1, 16, 1, 1];0.006519318209029734;0.07659112329726554
[1, 16, 1, 4];0.0065352043602615595;0.07640494118257693
[1, 16, 2, 1];0.006447670282796025;0.077442220656695
[1, 16, 2, 4];0.006431079236790538;0.07764200787721812
[1, 16, 4, 1];0.004995982511900365;0.09994468626992319
[1, 16, 4, 4];0.004995050956495106;0.09996332552176117
[1, 16, 8, 1];0.005211863899603486;0.09580486259433842
[1, 16, 8, 4];0.005212155403569341;0.09579950444684816
[1, 16, 16, 1];0.005831436836160719;0.08562587897130453
[1, 16, 16, 4];0.005830366222653538;0.08564160220704825
[1, 16, 32, 1];0.006125811603851616;0.08151114285786314
[1, 16, 32, 4];0.00404780637472868;0.12335617332866466
[1, 16, 64, 1];0.006329419673420489;0.07888904994856592
[1, 16, 64, 4];0.004044111410621554;0.1234688795789536
[1, 16, 128, 1];0.0064094034023582935;0.07790458384600708
[1, 16, 128, 4];0.006407939363270998;0.07792238291515617
[1, 16, 256, 1];0.006461848155595362;0.07727230549816282
[1, 16, 256, 4];0.006465631071478128;0.07722709496441361
[1, 16, 512, 1];0.007540016435086727;0.06622291994462495
[1, 16, 512, 4];0.006631552707403898;0.07529487086854172
[1, 32, 1, 1];0.004030765907373279;0.12387767393003897
[1, 32, 1, 4];0.004028670606203377;0.12394210238807937
[1, 32, 2, 1];0.004032051365356892;0.12383818049840441
[1, 32, 2, 4];0.0040317754610441625;0.12384665504973055
[1, 32, 4, 1];0.003999031148850918;0.12486071905325868
[1, 32, 4, 4];0.003999060543719679;0.12485980127159224
[1, 32, 8, 1];0.004018147068563849;0.12426670707709327
[1, 32, 8, 4];0.004021322529297322;0.12416857914879942
[1, 32, 16, 1];0.0040218092617578804;0.12415355186278965
[1, 32, 16, 4];0.0040188932325690985;0.12424363521663168
[1, 32, 32, 1];0.0040298260864801705;0.12390656421553783
[1, 32, 32, 4];0.00402310531353578;0.12411355553679666
[1, 32, 64, 1];0.0021565945935435593;0.2315325774518684
[1, 32, 64, 4];0.004041156615130603;0.1235591570226158
[1, 32, 128, 1];0.004047005495522171;0.12338058480878811
[1, 32, 128, 4];0.004048145259730518;0.12334584673355922
[1, 32, 256, 1];0.0040513662388548255;0.12324778243278371
[1, 32, 256, 4];0.004077581572346389;0.12245540546588667
[1, 32, 512, 1];0.00433730985969305;0.11512248857342224
[1, 32, 512, 4];0.004344493732787669;0.11493212684220218
[1, 64, 1, 1];0.003608430444728583;0.13837648041445413
[1, 64, 1, 4];0.003608199069276452;0.13838535379424982
[1, 64, 2, 1];0.003617108566686511;0.13804448928092686
[1, 64, 2, 4];0.003615836030803621;0.1380930718395796
[1, 64, 4, 1];0.0036280411877669394;0.13762851051568065
[1, 64, 4, 4];0.003630729508586228;0.13752660548825518
[1, 64, 8, 1];0.0036254149745218456;0.13772820719033968
[1, 64, 8, 4];0.0036227069213055074;0.13783116205877488
[1, 64, 16, 1];0.0036228002863936126;0.13782760993953783
[1, 64, 16, 4];0.0036214505089446902;0.1378789806815308
[1, 64, 32, 1];0.003615110006649047;0.13812080513277133
[1, 64, 32, 4];0.0036069151828996837;0.13843461224959777
[1, 64, 64, 1];0.0017670456145424396;0.282574428556107
[1, 64, 64, 4];0.0017540289845783263;0.2846714103085037
[1, 64, 128, 1];0.003632957173977047;0.1374422765945491
[1, 64, 128, 4];0.003643401840236038;0.13704826605938042
[1, 64, 256, 1];0.0036649666144512594;0.1362418699240092
[1, 64, 256, 4];0.003636738925706595;0.13729935388883868
[1, 128, 1, 1];0.38091475144028664;0.0013108494823944354
[1, 128, 1, 4];0.380917826667428;0.0013108388996397721
[1, 128, 2, 1];0.37932528369128704;0.0013163422693655102
[1, 128, 2, 4];0.37929941341280937;0.0013164320510521573
[1, 128, 4, 1];0.3786697704344988;0.001318620982575307
[1, 128, 4, 4];0.3786864709109068;0.0013185628299865505
[1, 128, 8, 1];0.37874821573495865;0.0013183478733833072
[1, 128, 8, 4];0.3787378538399935;0.001318383942083737
[1, 128, 16, 1];0.3762684278190136;0.0013270364129569763
[1, 128, 16, 4];0.37628586404025555;0.0013269749211426308
[1, 128, 32, 1];0.3766554705798626;0.0013256727799365205
[1, 128, 32, 4];0.37668838538229465;0.0013255569434538084
[1, 128, 64, 1];0.3767485190182924;0.001325345368478173
[1, 128, 64, 4];0.37672048062086105;0.0013254440107397087
[1, 128, 128, 1];0.37693021073937416;0.0013247065120687753
[1, 128, 128, 4];0.37693657726049423;0.0013246841375567334
[1, 256, 1, 1];0.5192135758697987;0.000961688846300733
[1, 256, 1, 4];0.5191603004932404;0.0009617875332291633
[1, 256, 2, 1];0.5174756590276957;0.0009649186315354414
[1, 256, 2, 4];0.5175062827765942;0.0009648615318888031
[1, 256, 4, 1];0.5168218407779932;0.0009661393257108774
[1, 256, 4, 4];0.5168096926063299;0.000966162035862307
[1, 256, 8, 1];0.5164151787757874;0.000966900132458531
[1, 256, 8, 4];0.5164496134966612;0.0009668356635630106
[1, 256, 16, 1];0.517023241147399;0.0009657629774123681
[1, 256, 16, 4];0.5172766894102097;0.0009652897858807892
[1, 256, 32, 1];0.5175445042550564;0.0009647902753418649
[1, 256, 32, 4];0.5176284313201904;0.0009646338464995139
[1, 256, 64, 1];0.5182385984808207;0.0009634980995734999
[1, 256, 64, 4];0.5182380750775337;0.0009634990726746604
[2, 16, 1, 1];0.0027497462288010865;0.18158835878451718
[2, 16, 1, 4];0.002750550484051928;0.1815352627254225
[2, 16, 2, 1];0.0027509117498993874;0.18151142245118082
[2, 16, 2, 4];0.0029936603968963027;0.16679310227692495
[2, 16, 4, 1];0.0027839004469569772;0.1793605462105166
[2, 16, 4, 4];0.0029814012232236564;0.16747893603599256
[2, 16, 8, 1];0.0033620184403844178;0.1485184907863895
[2, 16, 8, 4];0.0029802428325638175;0.16754403342775678
[2, 16, 16, 1];0.0034833249519579113;0.14334634627792775
[2, 16, 16, 4];0.0022442371991928667;0.22249069970923058
[2, 16, 32, 1];0.0027483228186611086;0.18168240694706955
[2, 16, 32, 4];0.0029863794043194503;0.16719975500758336
[2, 16, 64, 1];0.002763306809356436;0.1806972367567809
[2, 16, 64, 4];0.0030036722600925714;0.16623714624128666
[2, 16, 128, 1];0.0027691914583556354;0.18031324748430558
[2, 16, 128, 4];0.0030139221053104848;0.16567180149815658
[2, 16, 256, 1];0.002785565098747611;0.17925336047123785
[2, 16, 256, 4];0.003040980052901432;0.1641976915585146
[2, 16, 512, 1];0.007062656804919243;0.07069887700250702
[2, 16, 512, 4];0.004108710854779929;0.12152763297544078
[2, 32, 1, 1];0.0021918370039202273;0.2278097795907445
[2, 32, 1, 4];0.002190170547692105;0.2279831154190553
[2, 32, 2, 1];0.0021941713930573314;0.22756741170805064
[2, 32, 2, 4];0.002544697606936097;0.196220526714412
[2, 32, 4, 1];0.0022154483012855053;0.22538188071108461
[2, 32, 4, 4];0.0025451320980209857;0.19618702901517832
[2, 32, 8, 1];0.0022456982114817947;0.22234595112066893
[2, 32, 8, 4];0.0025464972713962197;0.1960818534426041
[2, 32, 16, 1];0.0028782825102098286;0.1734791157541738
[2, 32, 16, 4];0.0017754755390342325;0.28123277047990775
[2, 32, 32, 1];0.0014542078570229933;0.3433635036081432
[2, 32, 32, 4];0.0025543572555761784;0.1954784921615337
[2, 32, 64, 1];0.0029579212714452296;0.1688083822859619
[2, 32, 64, 4];0.002563827409176156;0.19475644225301175
[2, 32, 128, 1];0.0022995721956249326;0.21713686820178693
[2, 32, 128, 4];0.0025691384507808834;0.19435383274503445
[2, 32, 256, 1];0.0022974301245994866;0.21733932162526687
[2, 32, 256, 4];0.0026362927455920726;0.1894030568482122
[2, 64, 1, 1];0.0019334070675540715;0.25826010111444897
[2, 64, 1, 4];0.0019382404861971736;0.2576160741237915
[2, 64, 2, 1];0.001953239261638373;0.2556378599225343
[2, 64, 2, 4];0.0023237838759087026;0.21487450271882438
[2, 64, 4, 1];0.001929445774294436;0.2587903279865421
[2, 64, 4, 4];0.002328399830730632;0.21444852304650006
[2, 64, 8, 1];0.0019321168947499245;0.25843255453057484
[2, 64, 8, 4];0.002325843583093956;0.21468421539237012
[2, 64, 16, 1];0.0019250543264206499;0.2593806823573229
[2, 64, 16, 4];0.0017439031216781586;0.28632433680226865
[2, 64, 32, 1];0.0011063879792345688;0.4513081433760245
[2, 64, 32, 4];0.002358721074415371;0.21169179780431052
[2, 64, 64, 1];0.0020583936711773276;0.2425784298473433
[2, 64, 64, 4];0.0023858693020883948;0.20928300822045837
[2, 64, 128, 1];0.0020948968012817204;0.23835155242797865
[2, 64, 128, 4];0.0023966312874108553;0.20834323051057868
[2, 128, 1, 1];0.1902944501489401;0.0026239436009357834
[2, 128, 1, 4];0.19031029753386974;0.0026237251017540964
[2, 128, 2, 1];0.1897573433816433;0.0026313706540339776
[2, 128, 2, 4];0.19071245938539505;0.0026181923633676516
[2, 128, 4, 1];0.189886674284935;0.0026295784400997293
[2, 128, 4, 4];0.19039345160126686;0.00262257919357234
[2, 128, 8, 1];0.18917587585747242;0.0026394586651106635
[2, 128, 8, 4];0.1893121413886547;0.0026375588015604616
[2, 128, 16, 1];0.18952976912260056;0.0026345302222096304
[2, 128, 16, 4];0.18917827494442463;0.0026394251924994655
[2, 128, 32, 1];0.19114858470857143;0.002612218685914834
[2, 128, 32, 4];0.18924389965832233;0.002638509910562109
[2, 128, 64, 1];0.1921277642250061;0.0025989055084049964
[2, 128, 64, 4];0.18927454389631748;0.0026380827261981298
[2, 256, 1, 1];0.260028975084424;0.0019202548662116947
[2, 256, 1, 4];0.260043490678072;0.0019201476778361436
[2, 256, 2, 1];0.2593328673392534;0.00192540926217695
[2, 256, 2, 4];0.26051425375044346;0.0019166778691511609
[2, 256, 4, 1];0.2593268100172281;0.001925454235637005
[2, 256, 4, 4];0.25999821722507477;0.0019204820328812206
[2, 256, 8, 1];0.2590913102030754;0.0019272043681068923
[2, 256, 8, 4];0.2598230056464672;0.0019217771094577976
[2, 256, 16, 1];0.26136820018291473;0.0019104156680593185
[2, 256, 16, 4];0.2602914534509182;0.001918318477775373
[2, 256, 32, 1];0.26204153895378113;0.0019055066870522965
[2, 256, 32, 4];0.2612177710980177;0.0019115158308832764
[4, 16, 1, 1];0.001670628582360223;0.2988826541303843
[4, 16, 1, 4];0.001672637852607295;0.29852361883570055
[4, 16, 2, 1];0.0016761774895712733;0.29789321707787614
[4, 16, 2, 4];0.0021163364872336388;0.23593691635236677
[4, 16, 4, 1];0.0017128084145952016;0.29152233285817464
[4, 16, 4, 4];0.0021162823541089892;0.23594295146506217
[4, 16, 8, 1];0.0019302226137369871;0.2586861749563683
[4, 16, 8, 4];0.0021163334604352713;0.2359372537913794
[4, 16, 16, 1];0.0020435414335224777;0.24434146358423348
[4, 16, 16, 4];0.002113768772687763;0.2362235222762762
[4, 16, 32, 1];0.0016819390293676406;0.2968727736519885
[4, 16, 32, 4];0.0021133575937710702;0.2362694823789456
[4, 16, 64, 1];0.0016925653617363423;0.29500893498710634
[4, 16, 64, 4];0.0021369849564507604;0.23365719222993978
[4, 16, 128, 1];0.00172105070669204;0.29012620187212884
[4, 16, 128, 4];0.0021449048072099686;0.23279443595047397
[4, 16, 256, 1];0.0023188664054032415;0.21533017322534143
[4, 16, 256, 4];0.0021682348160538822;0.23028958905412958
[4, 32, 1, 1];0.0013001338666072115;0.38405422517368887
[4, 32, 1, 4];0.001300000469200313;0.3840936342654241
[4, 32, 2, 1];0.0013090343563817441;0.38144293335589974
[4, 32, 2, 4];0.0019980540964752436;0.2499040970125663
[4, 32, 4, 1];0.0012991262919967994;0.38435208942960486
[4, 32, 4, 4];0.002045990520855412;0.24404898247189452
[4, 32, 8, 1];0.0013276439276523888;0.37609625168461586
[4, 32, 8, 4];0.0020871726737823337;0.23923363458809727
[4, 32, 16, 1];0.0013259636325528845;0.376572850494065
[4, 32, 16, 4];0.002120433666277677;0.2354810304622456
[4, 32, 32, 1];0.0014127269387245178;0.35344544729409505
[4, 32, 32, 4];0.002056007826467976;0.24285992413739585
[4, 32, 64, 1];0.001421403416316025;0.35128795880907676
[4, 32, 64, 4];0.0019484858203213662;0.25626150293439187
[4, 32, 128, 1];0.0014390320429811254;0.34698456312862935
[4, 32, 128, 4];0.002000056381803006;0.24965391441204138
[4, 64, 1, 1];0.0011258360173087567;0.4435121075229977
[4, 64, 1, 4];0.0011238070583203807;0.4443128391702586
[4, 64, 2, 1];0.0011428928410168737;0.43689301992445745
[4, 64, 2, 4];0.002229898440418765;0.22392136597401913
[4, 64, 4, 1];0.001122079134802334;0.44499704991828903
