X;Y;X_fit_1;X_fit_2
[32, 1, 8, 3];0.021782584080004688;[-0.3152792196252219];[-0.31527921962523925, -0.3422824063483299]
[8, 32, 1, 2];0.31901083810584674;[-0.0438355251724759];[-0.04383552517248107, 0.308440279022331]
[2, 1, 16, 3];0.01594671930402873;[0.15142232455890195];[0.15142232455890287, -0.16809199731659094]
[1, 16, 32, 5];0.12780325108561771;[0.29991046690586237];[0.2999104669058561, -0.01922287657562898]
[16, 256, 2, 1];0.19642095639489882;[-0.08476700593150485];[-0.08476700593155127, 3.4874533788252178]
[4, 1, 8, 5];0.0305878156805349;[0.05906027986342527];[0.05906027986342056, -0.14462693971361756]
[16, 16, 64, 4];0.6431329608662072;[0.36186548539353064];[0.36186548539353164, -0.2754429545803099]
[16, 8, 16, 4];0.3273587955498066;[-0.03394055883151974];[-0.03394055883152135, -0.16566398052699946]
[1, 32, 1, 1];0.2498048696501992;[0.049749349699687015];[0.049749349699682956, 0.3578541456809999]
[4, 16, 4, 0];0.3400631079600254;[0.030120381827204435];[0.03012038182720625, 0.09114132026827466]
[8, 4, 1, 5];0.10445169028637812;[-0.05106299058807002];[-0.051062990588075355, -0.09658272140547645]
[1, 4, 128, 3];0.008807523584040671;[1.0842950899403614];[1.0842950899403703, -0.643803825110058]
[4, 4, 8, 3];0.12352819746267361;[0.05983465115795201];[0.05983465115795062, -0.10123161823921474]
[8, 4, 8, 4];0.1721329807911416;[0.006357579802432312];[0.006357579802429404, -0.12946811347274492]
[1, 64, 1, 3];0.17256311337523403;[0.058009310174659545];[0.05800931017464514, 0.820737574741352]
[8, 1, 16, 3];0.04349825906532978;[0.07120671752562083];[0.07120671752562133, -0.21044674016688775]
[4, 4, 256, 1];0.03452934717900303;[2.094163430707207];[2.094163430707231, -1.2663140800509374]
[256, 2, 2, 0];0.01603648117780217;[-3.358954723532826];[-3.3589547235327806, -1.880873553353245]
[2, 2, 4, 1];0.03159746490201725;[0.05324518479716595];[0.053245184797168194, -0.09725193232885848]
[32, 4, 1, 3];0.013250405195127912;[-0.3719254187211957];[-0.3719254187211933, -0.26600169280667646]
[2, 1, 64, 0];0.015953235101763188;[0.5451633786652067];[0.5451633786652164, -0.39359182863499304]
[128, 1, 8, 0];0.01952742764174643;[-1.598728932157719];[-1.5987289321576938, -1.0199582919531385]
[16, 1, 64, 4];0.04438655632253156;[0.35799362892088804];[0.357993628920892, -0.49241956195234743]
[16, 4, 16, 3];0.04268539027314605;[-0.03497305389089199];[-0.03497305389089081, -0.22352440915954525]
[32, 4, 8, 5];0.010065481989787834;[-0.3145048483306907];[-0.3145048483306918, -0.29888708487393795]
[1, 8, 2, 2];0.06445211071332944;[0.05175731797067459];[0.05175731797067329, 0.005993660733275284]
[8, 64, 2, 4];0.4480246191132458;[-0.02737262607028586];[-0.027372626070301203, 0.7666257949302057]
[4, 1, 256, 2];0.008638676157546396;[2.0933890594126785];[2.093389059412702, -1.3097094015253428]
[2, 128, 64, 1];0.33576524974215816;[0.5779450968002482];[0.5779450968002307, 1.4434767804482624]
[16, 2, 32, 1];0.033188266650562744;[0.09575771661485644];[0.0957577166148634, -0.32762123391528747]
[2, 64, 1, 3];0.35467803547522725;[0.04464004233577947];[0.04464004233576511, 0.8136784509329689]
[256, 16, 2, 4];0.04857458853052272;[-3.3553409908250225];[-3.3553409908249883, -1.6783620531393333]
[32, 1, 8, 2];0.025068384692802162;[-0.3152792196252219];[-0.3152792196252163, -0.3422824063483526]
[2, 16, 16, 4];0.2534379177923277;[0.1552941810315452];[0.15529418103153972, 0.04888461005545132]
[1, 1, 256, 3];0.008163197153732708;[2.1334968629293205];[2.133496862929341, -1.2885320301001906]
[8, 8, 4, 1];0.3170528960961837;[-0.025421679647057976];[-0.02542167964705589, -0.052816032230342244]
[4, 2, 8, 4];0.062408817788108154;[0.059318403628267236];[0.05931840362826426, -0.1301618325554841]
[16, 2, 2, 0];0.02758065414184259;[-0.15033044220158673];[-0.15033044220158032, -0.18668383934129185]
[1, 256, 8, 1];0.3539052661829479;[0.1649896434149861];[0.16498964341493777, 3.5651527570361656]
[128, 8, 1, 5];0.0030804336756935654;[-1.654342636194318];[-1.6543426361943054, -0.8858171497789097]
[128, 1, 8, 2];0.019191313590838865;[-1.5987289321577172];[-1.598728932157696, -1.019958291953134]
[1, 8, 64, 1];0.06506691229584914;[0.5603395128579876];[0.5603395128579939, -0.28527695471965653]
[2, 8, 4, 4];0.12558385129934696;[0.05479392738622567];[0.05479392738622069, -0.010461289380036263]
[2, 4, 128, 2];0.009015558301546305;[1.0709258221014804];[1.0709258221014917, -0.6508629489184435]
[4, 128, 2, 1];0.3269068587780014;[0.04262436623517387];[0.04262436623515098, 1.7206291482844258]
[4, 4, 32, 3];0.03005884590923068;[0.2567051782111059];[0.25670517821110655, -0.21398153389841332]
[64, 16, 4, 4];0.09048935686677846;[-0.7720356885056017];[-0.7720356885055983, -0.33240610823470407]
[4, 2, 1, 1];0.06181391824222373;[0.0018978332377614078];[0.0018978332377637469, -0.09727644048822491]
[1, 4, 256, 3];0.008154549996608487;[2.134271234223849];[2.1342712342238688, -1.245136708625783]
[8, 64, 4, 4];0.6503543647197695;[-0.010966748815856422];[-0.010966748815871534, 0.7572299686252727]
[2, 8, 8, 2];0.12705415728277125;[0.08760568189508286];[0.08760568189508226, -0.029252941989907456]
[32, 8, 4, 1];0.16944421808130455;[-0.34628410778018204];[-0.3462841077801761, -0.2222350036315376]
[8, 4, 32, 2];0.015017932521488375;[0.20322810685558432];[0.20322810685558762, -0.24221802913194823]
[16, 2, 32, 0];0.015921204963987304;[0.09575771661485559];[0.09575771661486467, -0.32762123391528974]
[4, 2, 2, 5];0.024861973789105946;[0.010100771864979688];[0.010100771864974132, -0.10197435364068207]
[1, 16, 2, 1];0.12873666727955352;[0.0538223080894164];[0.0538223080894155, 0.12171451799835964]
[16, 1, 64, 1];0.013153982962530177;[0.35799362892088527];[0.3579936289208954, -0.4924195619523546]
[1, 32, 16, 5];0.16524749133065705;[0.17279342910791173];[0.17279342910790077, 0.28738544839401037]
[1, 4, 8, 1];0.03256331170360719;[0.09994245467459076];[0.09994245467459283, -0.08005424681407017]
[1, 4, 128, 4];0.032674712165141395;[1.0842950899403623];[1.0842950899403694, -0.6438038251100554]
[1, 4, 64, 1];0.032564304677253915;[0.5593070177986162];[0.5593070177986232, -0.34313738335220006]
[32, 16, 16, 1];0.379971430264167;[-0.24578385413486226];[-0.2457838541348569, -0.16288910419605004]
[8, 64, 1, 2];0.17900351960112068;[-0.035575564697502386];[-0.03557556469751379, 0.7713237080826677]
[8, 64, 8, 1];0.3327091350732374;[0.02184500569299986];[0.02184500569299109, 0.7384383160153993]
[64, 1, 16, 5];0.003711087270634264;[-0.6774722814516665];[-0.6774722814516613, -0.6057576734363387]
[4, 2, 64, 1];0.024652229705585747;[0.5186829667522901];[0.518682966752298, -0.39324496909362106]
[4, 32, 4, 2];0.4845008608852022;[0.034250362064691654];[0.034250362064686235, 0.32258303479845307]
[2, 1, 1, 0];0.01581161603458076;[0.028378245150678025];[0.02837824515068235, -0.09762330002959706]
[1, 1, 128, 3];0.008171864876080159;[1.0835207186458329];[1.0835207186458424, -0.6871991465844657]
[32, 16, 8, 4];0.26763304407885175;[-0.31140736315257755];[-0.311407363152579, -0.12530579897631008]
[32, 2, 8, 4];0.04213663610037702;[-0.31502109586037735];[-0.31502109586037597, -0.3278172991902119]
[1, 128, 8, 5];0.02816168123380606;[0.1319498015151061];[0.13194980151507552, 1.7136190407947847]
[8, 1, 1, 1];0.04186333578101095;[-0.051837361882602045];[-0.051837361882598895, -0.13997804287989338]
[256, 1, 2, 5];0.0030800849553049795;[-3.359212847297664];[-3.35921284729763, -1.8953386605113685]
[4, 64, 2, 3];0.2201418291078503;[0.026104445285233858];[0.026104445285219997, 0.7948622901637358]
[16, 16, 8, 4];0.6948497131119545;[-0.09749907773049495];[-0.09749907773049885, -0.012359818042179848]
[1, 8, 128, 5];0.06530019548440184;[1.0853275849997346];[1.0853275849997388, -0.5859433964775096]
[2, 1, 1, 3];0.015813854451095708;[0.028378245150680662];[0.028378245150678865, -0.09762330002958979]
[2, 32, 16, 5];0.10629644966372212;[0.15942416126903147];[0.15942416126902098, 0.28032632458562734]
[2, 16, 4, 1];0.2489297337345937;[0.05685891750496568];[0.05685891750496517, 0.1052595678850434]
[4, 8, 8, 5];0.24734758952733196;[0.060867146217325176];[0.06086714621731882, -0.04337118960666665]
[32, 16, 32, 4];0.27766853679337955;[-0.11453683609942376];[-0.11453683609942303, -0.23805571463550862]
[16, 4, 4, 1];0.16618128296092222;[-0.1334083174174707];[-0.1334083174174665, -0.16714945132995082]
[8, 1, 2, 1];0.03948183333768624;[-0.043634423255387265];[-0.04363442325538399, -0.14467595603235991]
[64, 8, 1, 2];0.0030839989221356483;[-0.7987094945059905];[-0.7987094945059818, -0.4340332260423958]
[8, 4, 32, 1];0.07023709699690876;[0.20322810685558348];[0.20322810685558879, -0.24221802913195065]
[64, 64, 4, 1];0.4750673039688341;[-0.7596457477931481];[-0.7596457477931486, 0.3619190353558097]
[1, 128, 2, 2];0.052596799820829904;[0.08273216975181501];[0.08273216975178993, 1.7418065197095771]
[32, 1, 32, 0];0.01735390185345929;[-0.11840869257206983];[-0.11840869257205813, -0.45503232200755583]
[128, 4, 2, 0];0.02413984880453646;[-1.6471721926264786];[-1.647172192626455, -0.9483754915639313]
[2, 1, 2, 1];0.015786497533192275;[0.03658118377789366];[0.03658118377789593, -0.10232121318206117]
[8, 4, 1, 4];0.16896508090315412;[-0.0510629905880709];[-0.05106299058807432, -0.09658272140547872]
[1, 2, 4, 0];0.01619944475657529;[0.06661445263604521];[0.06661445263604933, -0.09019280852047779]
[32, 128, 4, 4];0.18667969592098038;[-0.3153092559990387];[-0.3153092559990629, 1.5135778553447716]
[2, 2, 2, 1];0.03153069977043737;[0.036839307542736476];[0.03683930754273862, -0.0878561060239253]
[1, 1, 4, 1];0.008154167938359299;[0.06635632887120328];[0.06635632887120559, -0.10465791567861119]
[16, 64, 1, 4];0.2794275734120418;[-0.14252970740854196];[-0.14252970740855606, 0.7148507176156073]
[4, 32, 1, 2];0.42838170938413367;[0.009641546183047434];[0.009641546183041761, 0.336676774255853]
[8, 128, 1, 2];0.018612815778424125;[-0.019055643747560788];[-0.01905564374758484, 1.697090566203362]
